# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Branco\Dropbox\Faculdade\OAC\mipsfinal_de2\mipsfinal_de2.csv
# Generated on: Mon Jul 14 16:11:41 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair
hexas[45],Output,PIN_H8,2,B2_N0,,,,
hexas[44],Output,PIN_H7,2,B2_N0,,,,
hexas[43],Output,PIN_H4,2,B2_N1,,,,
hexas[42],Output,PIN_H6,2,B2_N0,,,,
hexas[41],Output,PIN_K5,2,B2_N1,,,,
hexas[40],Output,PIN_K4,2,B2_N2,,,,
hexas[39],Output,PIN_K1,2,B2_N2,,,,
hexas[38],Output,PIN_L3,2,B2_N2,,,,
hexas[37],Output,PIN_L2,2,B2_N3,,,,
hexas[36],Output,PIN_L1,2,B2_N3,,,,
hexas[35],Output,PIN_M3,2,B2_N3,,,,
hexas[34],Output,PIN_M2,2,B2_N3,,,,
hexas[33],Output,PIN_M1,2,B2_N3,,,,
hexas[32],Output,PIN_N3,2,B2_N3,,,,
hexas[31],Output,PIN_N2,2,B2_N3,,,,
hexas[30],Output,PIN_P3,2,B2_N3,,,,
hexas[29],Output,PIN_P2,2,B2_N3,,,,
hexas[28],Output,PIN_P1,2,B2_N3,,,,
hexas[27],Output,PIN_M6,2,B2_N2,,,,
hexas[26],Output,PIN_M7,2,B2_N2,,,,
hexas[25],Output,PIN_M8,2,B2_N1,,,,
hexas[24],Output,PIN_N7,2,B2_N2,,,,
hexas[23],Output,PIN_N10,2,B2_N2,,,,
hexas[22],Output,PIN_P4,2,B2_N3,,,,
hexas[21],Output,PIN_P6,2,B2_N3,,,,
hexas[20],Output,PIN_AE19,7,B7_N1,,,,
hexas[19],Output,PIN_AB19,7,B7_N1,,,,
hexas[18],Output,PIN_AB18,7,B7_N1,,,,
hexas[17],Output,PIN_AG4,8,B8_N3,,,,
hexas[16],Output,PIN_AH5,8,B8_N3,,,,
hexas[15],Output,PIN_AF7,8,B8_N3,,,,
hexas[14],Output,PIN_AE7,8,B8_N3,,,,
hexas[13],Output,PIN_AD17,7,B7_N2,,,,
hexas[12],Output,PIN_AF17,7,B7_N2,,,,
hexas[11],Output,PIN_AE17,7,B7_N3,,,,
hexas[10],Output,PIN_AG16,7,B7_N3,,,,
hexas[9],Output,PIN_AF16,7,B7_N3,,,,
hexas[8],Output,PIN_AE16,7,B7_N3,,,,
hexas[7],Output,PIN_AG13,8,B8_N0,,,,
hexas[6],Output,PIN_AD12,8,B8_N1,,,,
hexas[5],Output,PIN_AD11,8,B8_N2,,,,
hexas[4],Output,PIN_AF10,8,B8_N2,,,,
hexas[3],Output,PIN_AD10,8,B8_N2,,,,
hexas[2],Output,PIN_AH9,8,B8_N1,,,,
hexas[1],Output,PIN_AF9,8,B8_N2,,,,
hexas[0],Output,PIN_AE8,8,B8_N3,,,,
init_pc[7],Input,PIN_U9,1,B1_N0,,,,
init_pc[6],Input,PIN_V10,1,B1_N1,,,,
init_pc[5],Input,PIN_W5,1,B1_N1,,,,
init_pc[4],Input,PIN_AE27,6,B6_N2,,,,
init_pc[3],Input,PIN_AD24,6,B6_N3,,,,
init_pc[2],Input,PIN_AD25,6,B6_N3,,,,
init_pc[1],Input,PIN_AC23,6,B6_N3,,,,
init_pc[0],Input,PIN_AC24,6,B6_N3,,,,
led_clk,Output,PIN_W27,6,B6_N1,,,,
led_zero,Output,PIN_AC14,8,B8_N0,,,,
sel_out[3],Input,PIN_L8,2,B2_N1,,,,
sel_out[2],Input,PIN_L7,2,B2_N1,,,,
sel_out[1],Input,PIN_L4,2,B2_N2,,,,
sel_out[0],Input,PIN_L5,2,B2_N1,,,,
set_pc,Input,PIN_T9,1,B1_N0,,,,
reset,Unknown,PIN_T28,6,B6_N0,,,,
